word frequencyM frequencyNA sum
infirme 1 0 1
indeede 1 0 1
carowsing 1 0 1
cock 1 0 1
nose-painting 1 0 1
master 1 0 1
timely 1 0 1
ioyfull 1 0 1
physicks 1 0 1
paine 1 0 1
limitted 1 0 1
appoint 1 0 1
unruly 1 0 1
twas 1 0 1
rough 1 0 1
remembrance 1 0 1
paralell 1 0 1
lenox 1 0 1
master-peece 1 0 1
approch 1 0 1
destroy 1 0 1
woe 1 0 1
crvell 1 0 1
houre 1 0 1
amisse 1 0 1
murther 1 0 1
repent 1 0 1
fury 1 0 1
amaz 1 0 1
temp 1 0 1
rate 1 0 1
furious 1 0 1
tongves 1 0 1
briefely 1 0 1
readiness 1 0 1
contented 1 0 1
ireland 1 0 1
murtherous 1 0 1
shaft 1 0 1
shot 1 0 1
threescore 1 0 1
eate 1 0 1
slaine 1 0 1
subborned 1 0 1
gainst 1 0 1
nam 1 0 1
colmekill 1 0 1
cosin 1 0 1
adieu 1 0 1
farewell 1 0 1
benyson 1 0 1
chiefe 1 0 1
forgotten 1 0 1
solemn 1 0 1
supper 1 0 1
afternoone 1 0 1
desir 1 0 1
fill 1 0 1
cozens 1 0 1
bestow 1 0 1
wish 1 0 1
swift 1 0 1
pallace 1 0 1
catalogve 1 0 1
enemy 1 0 1
lives- 1 0 1
shine 1 0 1
resolu 1 0 1
abide 1 0 1
court 1 0 1
returnes 1 0 1
nought 1 0 1
s 1 0 1
scorch 1 0 1
snake 1 0 1
scorpions 1 0 1
deare 1 0 1
coppy 1 0 1
etern 1 0 1
assaileable 1 0 1
innocent 1 0 1
chuck 1 0 1
ioyne 1 0 1
mistrust 1 0 1
delivers 1 0 1
usvally 1 0 1
rayne 1 0 1
trechery 1 0 1
strike 1 0 1
mingle 1 0 1
encounter 1 0 1
harts 1 0 1
best 1 0 1
cut-throats 1 0 1
ditch 1 0 1
bides 1 0 1
remembrancer 1 0 1
roof 1 0 1
absence 1 0 1
reseru 1 0 1
canst 1 0 1
shake 1 0 1
gentlemen 1 0 1
often 1 0 1
stuffe 1 0 1
